location,vaccines
Afghanistan,Oxford AstraZeneca
Albania,"Pfizer BioNTech, Sinovac"
Algeria,Sputnik V
Andorra,"Oxford AstraZeneca, Pfizer BioNTech"
Angola,Oxford AstraZeneca
Anguilla,Oxford AstraZeneca
Antigua and Barbuda,Oxford AstraZeneca
Argentina,"Oxford AstraZeneca, Sinopharm Beijing, Sputnik V"
Armenia,Sputnik V
Aruba,Pfizer BioNTech
Australia,"Oxford AstraZeneca, Pfizer BioNTech"
Austria,"Johnson&Johnson, Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Azerbaijan,Sinovac
Bahamas,Oxford AstraZeneca
Bahrain,"Oxford AstraZeneca, Pfizer BioNTech, Sinopharm Beijing, Sputnik V"
Bangladesh,Oxford AstraZeneca
Barbados,Oxford AstraZeneca
Belarus,Sputnik V
Belgium,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Belize,Oxford AstraZeneca
Bermuda,Pfizer BioNTech
Bhutan,Oxford AstraZeneca
Bolivia,"Oxford AstraZeneca, Sinopharm Beijing, Sputnik V"
Bosnia and Herzegovina,"Oxford AstraZeneca, Pfizer BioNTech, Sinovac, Sputnik V"
Botswana,Oxford AstraZeneca
Brazil,"Oxford AstraZeneca, Sinovac"
Brunei,Oxford AstraZeneca
Bulgaria,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Cambodia,"Oxford AstraZeneca, Sinopharm Beijing, Sinovac"
Cameroon,Sinopharm Beijing
Canada,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Cape Verde,Oxford AstraZeneca
Cayman Islands,Pfizer BioNTech
Chile,"Pfizer BioNTech, Sinovac"
China,"Sinopharm Beijing, Sinopharm Wuhan, Sinovac"
Colombia,"Pfizer BioNTech, Sinovac"
Congo,"Sinopharm Beijing, Sputnik V"
Costa Rica,Pfizer BioNTech
Cote d'Ivoire,Oxford AstraZeneca
Croatia,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Curacao,"Moderna, Pfizer BioNTech"
Cyprus,Pfizer BioNTech
Czechia,"Johnson&Johnson, Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Denmark,"Moderna, Oxford AstraZeneca, Pfizer BioNTech"
Djibouti,Oxford AstraZeneca
Dominica,Oxford AstraZeneca
